Date,Close
11/11/2022,33747.85938
11/14/2022,33536.69922
11/15/2022,33592.92188
11/16/2022,33553.82813
11/17/2022,33546.32031
11/18/2022,33745.69141
11/21/2022,33700.28125
11/22/2022,34098.10156
11/23/2022,34194.05859
11/25/2022,34347.03125
11/28/2022,33849.46094
11/29/2022,33852.53125
11/30/2022,34589.76953
12/1/2022,34395.01172
12/2/2022,34429.87891
12/5/2022,33947.10156
12/6/2022,33596.33984
12/7/2022,33597.92188
12/8/2022,33781.48047
12/9/2022,33476.46094
12/12/2022,34005.03906
12/13/2022,34108.64063
12/14/2022,33966.35156
12/15/2022,33202.21875
12/16/2022,32920.46094
12/19/2022,32757.53906
12/20/2022,32849.73828
12/21/2022,33376.48047
12/22/2022,33027.48828
12/23/2022,33203.92969
12/27/2022,33241.55859
12/28/2022,32875.71094
12/29/2022,33220.80078
12/30/2022,33147.25
1/3/2023,33136.37109
1/4/2023,33269.76953
1/5/2023,32930.07813
1/6/2023,33630.60938
1/9/2023,33517.64844
1/10/2023,33704.10156
1/11/2023,33973.01172
1/12/2023,34189.96875
1/13/2023,34302.60938
1/17/2023,33910.85156
1/18/2023,33296.96094
1/19/2023,33044.55859
1/20/2023,33375.48828
1/23/2023,33629.55859
1/24/2023,33733.96094
1/25/2023,33743.83984
1/26/2023,33949.41016
1/27/2023,33978.07813
1/30/2023,33717.08984
1/31/2023,34086.03906
2/1/2023,34092.96094
2/2/2023,34053.94141
2/3/2023,33926.01172
2/6/2023,33891.01953
2/7/2023,34156.69141
2/8/2023,33949.01172
2/9/2023,33699.87891
2/10/2023,33869.26953
2/13/2023,34245.92969
2/14/2023,34089.26953
2/15/2023,34128.05078
2/16/2023,33696.85156
2/17/2023,33826.69141
2/21/2023,33129.58984
2/22/2023,33045.08984
2/23/2023,33153.91016
2/24/2023,32816.92188
2/27/2023,32889.08984
2/28/2023,32656.69922
3/1/2023,32661.83984
3/2/2023,33003.57031
3/3/2023,33390.96875
3/6/2023,33431.44141
3/7/2023,32856.46094
3/8/2023,32798.39844
3/9/2023,32254.85938
3/10/2023,31909.64063
3/13/2023,31819.14063
3/14/2023,32155.40039
3/15/2023,31874.57031
3/16/2023,32246.55078
3/17/2023,31861.98047
3/20/2023,32244.58008
3/21/2023,32560.59961
3/22/2023,32030.10938
3/23/2023,32105.25
3/24/2023,32237.5293
3/27/2023,32432.08008
3/28/2023,32394.25
3/29/2023,32717.59961
3/30/2023,32859.03125
3/31/2023,33274.14844
4/3/2023,33601.14844
4/4/2023,33402.37891
4/5/2023,33482.71875
4/6/2023,33485.28906
4/10/2023,33586.51953
4/11/2023,33684.78906
4/12/2023,33646.5
4/13/2023,34029.69141
